escenario,auc,eer_pct,n_llamadas,n_features
prosodica_sola,0.8282758620689654,25.474548440065682,353,12
espectral_sola,0.999967159277504,0.5796387520525449,353,120
fusion,0.9999343185550081,0.8259441707717564,353,132
